No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
111,13.754713,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x46e0 No such name PTR 8.2.0.10.in-addr.arpa,53,35314
112,13.755737,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa99b No such name PTR 9.2.0.10.in-addr.arpa,53,56183
113,13.756595,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa624 No such name PTR 10.2.0.10.in-addr.arpa OPT,53,58800
114,13.756723,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa624 PTR 10.2.0.10.in-addr.arpa,58800,53
115,13.756757,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xe1dd No such name PTR 11.2.0.10.in-addr.arpa OPT,53,60901
116,13.756839,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xe1dd PTR 11.2.0.10.in-addr.arpa,60901,53
117,13.756953,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x07b2 No such name PTR 12.2.0.10.in-addr.arpa OPT,53,56162
118,13.757061,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x07b2 PTR 12.2.0.10.in-addr.arpa,56162,53
119,13.757184,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa7cd No such name PTR 13.2.0.10.in-addr.arpa OPT,53,56043
120,13.757265,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa7cd PTR 13.2.0.10.in-addr.arpa,56043,53
121,13.757319,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x2bc2 No such name PTR 14.2.0.10.in-addr.arpa OPT,53,41636
122,13.757389,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x2bc2 PTR 14.2.0.10.in-addr.arpa,41636,53
123,13.757474,10.0.2.1,10.0.2.4,DNS,93,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xfbd5 No such name PTR 15.2.0.10.in-addr.arpa OPT,53,57149
124,13.757548,10.0.2.4,10.0.2.1,DNS,82,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xfbd5 PTR 15.2.0.10.in-addr.arpa,57149,53
125,13.75953,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa624 No such name PTR 10.2.0.10.in-addr.arpa,53,58800
126,13.759629,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xe1dd No such name PTR 11.2.0.10.in-addr.arpa,53,60901
127,13.759788,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x07b2 No such name PTR 12.2.0.10.in-addr.arpa,53,56162
128,13.759967,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xa7cd No such name PTR 13.2.0.10.in-addr.arpa,53,56043
129,13.760111,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x2bc2 No such name PTR 14.2.0.10.in-addr.arpa,53,41636
130,13.760277,10.0.2.1,10.0.2.4,DNS,82,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xfbd5 No such name PTR 15.2.0.10.in-addr.arpa,53,57149
131,19.859159,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x71dc PTR 0.3.0.10.in-addr.arpa OPT,34443,53
132,19.859275,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xba41 PTR 1.3.0.10.in-addr.arpa OPT,38738,53
133,19.859358,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7717 PTR 2.3.0.10.in-addr.arpa OPT,42121,53
134,19.859456,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x6851 PTR 3.3.0.10.in-addr.arpa OPT,54289,53
135,19.859567,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xde5c PTR 4.3.0.10.in-addr.arpa OPT,36469,53
136,19.85967,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x4923 PTR 5.3.0.10.in-addr.arpa OPT,34737,53
137,19.859773,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x46da PTR 6.3.0.10.in-addr.arpa OPT,34877,53
138,19.859886,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd3b6 PTR 7.3.0.10.in-addr.arpa OPT,50057,53
139,19.859997,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xcfbe PTR 8.3.0.10.in-addr.arpa OPT,43986,53
140,19.860101,10.0.2.4,10.0.2.1,DNS,92,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xbe65 PTR 9.3.0.10.in-addr.arpa OPT,53239,53
141,19.863972,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x71dc No such name PTR 0.3.0.10.in-addr.arpa OPT,53,34443
142,19.863973,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xba41 No such name PTR 1.3.0.10.in-addr.arpa OPT,53,38738
143,19.864131,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7717 No such name PTR 2.3.0.10.in-addr.arpa OPT,53,42121
144,19.864155,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x71dc PTR 0.3.0.10.in-addr.arpa,34443,53
145,19.864234,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xba41 PTR 1.3.0.10.in-addr.arpa,38738,53
146,19.864292,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x6851 No such name PTR 3.3.0.10.in-addr.arpa OPT,53,54289
