Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
8981,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8982,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8984,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8985,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8987,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8988,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8990,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8991,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8993,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8994,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8996,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8997,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8998,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8999,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9002,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9003,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9005,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9006,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9008,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9009,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9011,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9012,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9014,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9015,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9017,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9018,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9020,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9021,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9023,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9024,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9026,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9027,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9029,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9030,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9032,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9033,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9034,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9035,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9038,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9039,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9041,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9042,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9043,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9044,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9045,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9046,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9048,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9049,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9050,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9052,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9053,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9054,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9055,6,5,3,26,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
9057,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
9058,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
